index,paramerter,true,pred,likelihood_lifespan,n
102,3,15.311403274536133,13.290098190307617,14.134898299701643,5000
103,1,49.106201171875,47.54299545288086,47.88219526799514,5000
103,2,45.16195297241211,47.74820327758789,47.19686474450429,5000
103,3,84.96882629394531,84.81056213378906,85.24419680835989,5000
104,1,80.18939208984375,78.84618377685547,79.35663480667776,5000
104,2,47.001136779785156,46.69333267211914,45.76735139046648,5000
104,3,37.84000778198242,37.97687530517578,37.482081426247035,5000
105,1,69.40382385253906,70.9239730834961,72.1214588027338,5000
105,2,92.49874877929688,91.2795181274414,92.35936570856435,5000
105,3,40.32376480102539,40.2471809387207,41.01985411216461,5000
106,1,55.77724838256836,56.210697174072266,55.98918864128684,5000
106,2,38.95866394042969,40.09271240234375,39.19339093331373,5000
106,3,69.07760620117188,63.270957946777344,64.84363387255513,5000
107,1,50.73724365234375,51.28512191772461,52.13884501797105,5000
107,2,15.395626068115234,15.539124488830566,15.375079726179331,5000
107,3,76.79375457763672,78.96197509765625,74.41906470993392,5000
108,1,51.23005294799805,46.518394470214844,45.00959052926783,5000
108,2,66.84117126464844,68.619384765625,67.47590128048897,5000
108,3,46.87227249145508,48.05177307128906,48.112793285928156,5000
109,1,44.432735443115234,40.54621505737305,40.079464047625976,5000
109,2,36.25849533081055,36.4754753112793,34.53254882806636,5000
109,3,11.431065559387207,9.371232986450195,11.234605312462985,5000
110,1,64.14611053466797,65.80335998535156,66.05600246208591,5000
110,2,14.288042068481445,14.979854583740234,13.373772914644578,5000
110,3,32.647098541259766,32.942291259765625,32.46400642207005,5000
111,1,36.99688720703125,35.76741409301758,36.29957947402904,5000
111,2,41.6001091003418,41.469146728515625,40.703374249718905,5000
111,3,46.4505500793457,48.24453353881836,46.60404800396422,5000
112,1,89.3892822265625,86.72284698486328,87.02737368352699,5000
112,2,23.901023864746094,23.706926345825195,23.863247966886767,5000
112,3,35.18349838256836,35.83085250854492,35.47504361519863,5000
113,1,11.0924072265625,7.128162860870361,10.54801077213303,5000
113,2,72.2691421508789,75.05034637451172,73.92956372647295,5000
113,3,40.925804138183594,42.11865234375,41.12986764232521,5000
114,1,60.93397521972656,64.90272521972656,9.782247583013814e+19,5000
114,2,53.63675308227539,54.760948181152344,53.999165514470306,5000
114,3,32.092430114746094,31.316829681396484,32.02278802371612,5000
115,1,57.06571960449219,53.950218200683594,53.99488129900256,5000
115,2,99.09341430664062,94.10154724121094,97.97256780419733,5000
115,3,78.3265609741211,75.04878234863281,73.83081336787808,5000
116,1,87.565673828125,86.30931854248047,86.02069686985955,5000
116,2,73.81625366210938,72.62269592285156,73.17518547764583,5000
116,3,73.3343276977539,75.28987121582031,76.50685224648473,5000
117,1,85.14651489257812,87.87896728515625,91.93713331375034,5000
117,2,12.966400146484375,12.586226463317871,12.834774662922868,5000
117,3,45.1781005859375,44.31543731689453,44.32690901412918,5000
118,1,20.964941024780273,20.072187423706055,19.75917288650979,5000
118,2,84.1590805053711,83.41698455810547,85.57354547875632,5000
118,3,87.9800796508789,91.11505126953125,90.00568628310823,5000
119,1,33.85952377319336,33.04233169555664,33.00214425631979,5000
119,2,90.59274291992188,91.90575408935547,94.2484688393894,5000
119,3,68.9007797241211,69.45054626464844,71.23487457511418,5000
120,1,64.76443481445312,61.21864318847656,60.639261402923935,5000
120,2,12.266433715820312,11.47375202178955,12.41855880549369,5000
120,3,57.19713592529297,58.41682052612305,57.00698090047306,5000
121,1,56.24497604370117,56.94449996948242,54.47963823174704,5000
121,2,51.887489318847656,55.63707733154297,54.815522119971725,5000
121,3,18.86021614074707,17.553916931152344,18.20204746866641,5000
122,1,66.43304443359375,66.56629180908203,66.49508045468876,5000
122,2,56.85076141357422,57.20578384399414,56.35692497965152,5000
122,3,94.27839660644531,88.83030700683594,90.37255585609176,5000
123,1,16.79337501525879,16.420764923095703,16.592867545990032,5000
123,2,9.820037841796875,8.28505802154541,9.65691522772131,5000
123,3,64.73438262939453,67.7590560913086,63.404464901847,5000
124,1,98.0091323852539,95.3650894165039,104.98206810151494,5000
124,2,81.47024536132812,88.61630249023438,88.52793739943671,5000
124,3,89.87845611572266,90.37239837646484,90.06944167022075,5000
125,1,23.970867156982422,25.43636131286621,25.374233679646753,5000
125,2,10.843859672546387,10.918067932128906,11.184863537939746,5000
125,3,2.013707160949707,2.128275156021118,1.8947030449984767,5000
